% Model:              2021-03-17_EField_In_Planar_Cavity_BTO.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 19 2021, 11:47
% Dimension:          1
% Nodes:              213
% Expressions:        52
% Description:        Line graph
% cln3x,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height,Height
0,0,86312.89648193287,172625.79296386574,258938.68944579776,345251.5859277315,431564.4824096627,517877.3788915955,604190.2753735313,690503.171855463,776816.0683373961,863128.9648193254,949441.8613012566,1035754.757783191,1122067.654265122,1208380.5507470625,1294693.4472289975,1381006.343710926,1467319.2401928683,1553632.1366747923,1639945.033156718,1726257.9296386507,1812570.8261205966,1898883.7226025132,1985196.6190844516,2071509.515566382,2157822.4120483305,2244135.308530244,2330448.20501218,2416761.101494125,2503073.9979760386,2589386.894457995,2675699.7909399294,2762012.687421852,2848325.5839037797,2934638.4803857366,3020951.376867649,3107264.2733495845,3193577.169831532,3279890.066313436,3366202.962795363,3452515.8592773015,3538828.7557592457,3625141.652241193,3711454.5487231333,3797767.4452050263,3884080.3416869813,3970393.238168903,4056706.134650814,4143019.031132764,4229331.927614689,4315644.824096661,4401957.720578575
0.0020032576419894777,0,86317.93165798225,172635.8633159645,258953.7949739457,345271.726631929,431589.65828990994,517907.5899478914,604225.5216058778,690543.453263858,776861.3849218403,863179.3165798199,949497.248237799,1035815.1798957828,1122133.1115537626,1208451.0432117556,1294768.9748697379,1381086.906527716,1467404.8381857036,1553722.7698436806,1640040.701501655,1726358.6331596398,1812676.5648176344,1898994.496475598,1985312.4281335843,2071630.3597915657,2157948.291449563,2244266.223107525,2330584.1547655067,2416902.086423511,2503220.018081468,2589537.9497394757,2675855.881397457,2762173.813055432,2848491.744713407,2934809.676371407,3021127.6080293786,3107445.539687361,3193763.4713453557,3280081.40300331,3366399.3346612896,3452717.2663192796,3539035.197977266,3625353.129635269,3711671.061293256,3797988.992951196,3884306.9246091982,3970624.8562671687,4056942.7879251256,4143260.7195831314,4229578.651241104,4315896.582899126,4402214.514557087
0.030044161983536162,0,86388.4123025978,172776.8246051956,259165.23690779274,345553.6492103912,431942.06151298794,518330.4738155855,604718.8861181869,691107.2984207824,777495.7107233806,863884.1230259759,950272.535328572,1036660.947631171,1123049.3599337672,1209437.7722363737,1295826.1845389705,1382214.5968415649,1468603.009144172,1554991.421446761,1641379.8337493541,1727768.2460519518,1814156.658354559,1900545.070657144,1986933.482959745,2073321.895262342,2159710.307564955,2246098.7198675345,2332487.1321701333,2418875.5444727475,2505263.9567753235,2591652.369077941,2678040.781380544,2764429.1936831297,2850817.6059857197,2937206.018288344,3023594.430590929,3109982.842893522,3196371.2551961374,3282759.6674987082,3369148.079801298,3455536.4921039036,3541924.9044065117,3628313.316709118,3714701.729011729,3801090.141314288,3887478.5536169033,3973866.96591949,4060255.3782220623,4146643.790524684,4233032.202827271,4319420.61512991,4405809.027432485
0.05788105229171786,0,86458.38015916666,172916.7603183333,259375.14047749928,345833.5206366666,432291.90079583204,518750.28095499857,605208.6611141688,691667.0412733332,778125.4214325008,864583.8015916641,951042.1817508299,1037500.5619099971,1123958.9420691605,1210417.3222283376,1296875.702387505,1383334.0825466665,1469792.462705843,1556250.8428650016,1642709.223024163,1729167.6031833282,1815625.983342507,1902084.3635016598,1988542.743660828,2075001.1238199943,2161459.5039791767,2247917.884138321,2334376.264297492,2420834.6444566753,2507293.0246158205,2593751.40477501,2680209.784934179,2766668.165093333,2853126.545252494,2939584.925411686,3026043.305570843,3112501.6857300033,3198960.0658891844,3285418.446048326,3371876.826207486,3458335.2063666563,3544793.5865258407,3631251.966685014,3717710.346844189,3804168.7270033197,3890627.107162504,3977085.487321656,4063543.8674807986,4150002.2476399885,4236460.627799146,4322919.0079583535,4409377.3881175
0.08272319309468626,0,86525.75213721624,173051.5042744325,259577.25641164827,346103.008548865,432628.7606860798,519154.51282329654,605680.2649605148,692206.01709773,778731.7692349472,865257.5213721596,951783.273509376,1038309.0256465931,1124834.7777838057,1211360.5299210297,1297886.2820582471,1384412.03419546,1470937.7863326839,1557463.5384698943,1643989.2906071038,1730515.0427443192,1817040.794881547,1903566.547018752,1990092.2991559678,2076618.0512931861,2163143.8034304143,2249669.5555676115,2336195.30770483,2422721.0598420594,2509246.8119792556,2595772.5641164943,2682298.3162537133,2768824.06839092,2855349.8205281324,2941875.5726653677,3028401.324802571,3114927.0769397886,3201452.8290770184,3287978.5812142077,3374504.3333514137,3461030.0854886384,3547555.837625869,3634081.589763094,3720607.3419003156,3807133.094037504,3893658.8461747398,3980184.5983119356,4066710.3504491257,4153236.1025863723,4239761.854723577,4326287.606860829,4412813.3589980295
0.09288206408397405,0,86554.49930144206,173108.99860288412,259663.49790432598,346217.99720576825,432772.4965072096,519326.99580865196,605881.4951100964,692435.9944115365,778990.49371298,865544.9930144192,952099.4923158599,1038653.9916173039,1125208.4909187432,1211762.9902201928,1298317.4895216366,1384871.988823073,1471426.4881245256,1557980.98742596,1644535.4867273967,1731089.9860288384,1817644.485330288,1904198.9846317198,1990753.4839331612,2077307.9832346078,2163862.482536062,2250416.9818374864,2336971.4811389325,2423525.9804403856,2510080.479741806,2596634.9790432733,2683189.4783447143,2769743.977646146,2856298.476947583,2942852.9762490513,3029407.4755504807,3115961.97485192,3202516.474153374,3289070.9734547934,3375625.4727562233,3462179.972057677,3548734.471359131,3635288.970660576,3721843.469962022,3808397.9692634395,3894952.468564903,3981506.9678663225,4068061.467167745,4154615.9664692157,4241170.465770641,4327724.965072124,4414279.464373543
0.1135934986862382,0,86613.10768543498,173226.21537086996,259839.3230563049,346452.4307417399,433065.5384271747,519678.6461126098,606291.7537980474,692904.8614834798,779517.9691689166,866131.0768543493,952744.1845397834,1039357.2922252195,1125970.3999106518,1212583.5075960949,1299196.615281531,1385809.7229669597,1472422.830652406,1559035.9383378332,1645649.0460232634,1732262.1537086987,1818875.2613941426,1905488.3690795668,1992101.476765003,2078714.584450439,2165327.6921358863,2251940.7998213037,2338553.907506738,2425167.0151921897,2511780.1228776053,2598393.230563062,2685006.338248499,2771619.4459339194,2858232.5536193545,2944845.661304812,3031458.768990238,3118071.8766756663,3204684.984361114,3291298.0920465267,3377911.1997319483,3464524.3074173974,3551137.4151028446,3637750.5227882853,3724363.630473724,3810976.7381591336,3897589.8458445827,3984202.953530006,4070816.0612154105,4157429.168900878,4244042.2765863,4330655.384271773,4417268.491957193
0.13603030441345304,0,86676.59845518973,173353.19691037945,260029.79536556944,346706.3938207589,433382.9922759489,520059.5907311389,606736.1891863311,693412.7876415178,780089.3860967094,866765.9845518979,953442.5830070879,1040119.1814622778,1126795.779917464,1213472.3783726622,1300148.9768278527,1386825.5752830356,1473502.173738237,1560178.7721934188,1646855.3706486062,1733531.9691037957,1820208.567558993,1906885.1660141759,1993561.7644693614,2080238.3629245555,2166914.9613797595,2253591.559834928,2340268.15829012,2426944.7567453245,2513621.3552004965,2600297.9536557053,2686974.5521108997,2773651.1505660713,2860327.749021261,2947004.347476474,3033680.945931657,3120357.5443868376,3207034.1428420455,3293710.7412972124,3380387.3397523914,3467063.9382075914,3553740.536662793,3640417.135117986,3727093.733573185,3813770.3320283517,3900446.9304835433,3987123.528938723,4073800.127393894,4160476.725849111,4247153.324304291,4333829.922759519,4420506.521214692
0.16404612263617685,0,86755.87648994655,173511.7529798931,260267.62946984038,347023.5059597862,433779.3824497318,520535.25893968076,607291.1354296284,694047.0119195724,780802.8884095198,867558.7648994636,954314.6413894141,1041070.5178793615,1127826.3943693026,1214582.2708592569,1301338.1473492056,1388094.0238391447,1474849.9003291028,1561605.7768190396,1648361.6533089841,1735117.5297989273,1821873.4062888857,1908629.2827788282,1995385.1592687694,2082141.035758723,2168896.9122486766,2255652.788738605,2342408.6652285536,2429164.5417185137,2515920.418208442,2602676.294698411,2689432.171188357,2776188.0476782895,2862943.9241682407,2949699.8006582055,3036455.6771481466,3123211.553638079,3209967.430128039,3296723.3066179683,3383479.183107902,3470235.0595978545,3556990.9360878253,3643746.8125777715,3730502.6890677223,3817258.5655576563,3904014.442047607,3990770.318537539,4077526.195027457,4164282.071517446,4251037.948007371,4337793.824497353,4424549.700987286
0.20746094995529304,0,86878.73002082703,173757.46004165406,260636.190062482,347514.9200833081,434393.6501041349,521272.380124964,608151.1101457921,695029.8401666163,781908.5701874465,868787.3002082699,955666.0302291004,1042544.760249928,1129423.4902707487,1216302.2202915843,1303180.9503124142,1390059.6803332325,1476938.4103540739,1563817.140374893,1650695.8703957184,1737574.6004165397,1824453.3304373745,1911332.0604582008,1998210.7904790223,2085089.520499856,2171968.2505206903,2258846.9805414975,2345725.7105623344,2432604.4405831685,2519483.1706039803,2606361.9006248284,2693240.6306456523,2780119.360666465,2866998.0906873015,2953876.8207081477,3040755.5507289623,3127634.280749786,3214513.010770628,3301391.7407914368,3388270.470812247,3475149.2008330794,3562027.9308539256,3648906.660874749,3735785.3908955813,3822664.1209164015,3909542.8509372273,3996421.5809580446,4083300.310978845,4170179.040999712,4257057.771020522,4343936.501041381,4430815.231062204
